Asta K. Pellinen-Wannberg,"['Swedish Inst Space Physics', 'Kiruna Division', 'Box 812', '981 28 Kiruna', 'Sweden']"
Günther Hasinger,"['ESA - European Space Agency', 'ESA Director of Science', 'Camino bajo de Castillo S/N', '28691 Villanueva de la Cañada', '2869 Madrid', 'Spain']"
Lindsay J. King,"['MPI für Astrophysik', 'Karl-Schwarzschild-Str 1', '85741 Garching', 'Germany']"
Sergei A. Klioner,"['Technische Universität Dresden', 'Lohrmann Observatory', 'Mommsenstr 13', '01062 Dresden', 'Germany']"
Thomas P. Krichbaum,"['MPI für Radioastronomie', 'VLBI Group', 'Auf dem Huegel 69', '53121 Bonn', 'Germany']"
Peter Kroll,"['Sonneberg Observatory', 'Sternwartestr 32', '96515 Sonneberg', 'Germany']"
Karl M. Menten,"['MPI für Radioastronomie', 'Auf dem Huegel 69', '53121 Bonn', 'Germany']"
Hans-Walter Rix,"['MPI für Astronomie', 'Koenigstuhl 17', '69117 Heidelberg', 'Germany']"
Juergen H.M.M. Schmitt,"['Universität Hamburg', 'Hamburger Sternwarte', 'Gojenbergsweg 112', '21029 Hamburg', 'Germany']"
Rita M. Schulz,"['ESA/ESTeC', 'Research and Scientific Support Department', 'PO Box 299', '2200 AG Noordwijk', 'Netherlands']"
Wolfgang H. Voges,"['MPI für Extraterrestrische Physik', 'Giessenbachstrasse 1', '85748 Garching', 'Germany']"
Kerstin Weis,"['Ruhr-Universität Bochum', 'Astronomisches Inst', 'Universitätstr 150', '44780 Bochum', 'Germany']"
Bodo L. Ziegler,"['University of Vienna', 'Department of Astronomy', 'Tuerkenschanzstr. 17', '1230 Vienna', 'Austria']"
Anastasios Anastasiadis,"['National Observatory Athens', 'Institute for Astronomy, Astrophysics, Space Applications and Remote Sensing', 'I.Metaxa & Vas.Pavlou Str', 'Palaia Penteli', '152 36 Athens', 'Greece']"
Panayotis Boumis,"['National Observatory Athens', 'Institute for Astronomy, Astrophysics, Space Applications and Remote Sensing', 'I.Metaxa & Vas.Pavlou Str', 'Penteli', '152 36 Athens', 'Greece']"
Vassilis Charmandaris,"['University of Crete', 'Department of Physics', 'P.O. Box 2208', '710 03 Heraklion', 'Greece']"
Eleni Thomai Chatzichristou,"['Université Paris-Diderot', 'Labex UnivEarthS', '5 Rue Thomas Mann', '75013 Paris', 'France']"
Ioannis A. Daglis,"['National and Kapodistrian University of Athens', 'Department of Physics', 'Panepistimiopolis Zografou', '15784 Athens', 'Greece']"
Ioannis Georgantopoulos,"['National Observatory Athens', 'Inst Astronomy-Astrophysics', 'I.Metaxa & Vas.Pavlou Str', 'Palaia Penteli', '152 36 Athens', 'Greece']"
